Id,Supplier,Recipient,No. ordered,No. ordered data uncertain,Designation,Description,Status,Status data uncertain,Year of order,Year of order data uncertain,Year(s) of deliveries,No. delivered,Year(s) of delivery or no. delivered data uncertain,Recipient Involvement,Comment
4327,Albania,Burkina Faso,12,Yes,M-43 120mm,Mortar,SecondHand,,2011,Yes,2011 - 2011,12,,,Probably ex-Albanian
23744,Argentina,Paraguay,20,,M-3/M-5 Half-track,APC,SecondHand,,2007,,2011 - 2011,20,Yes,,Ex-Argentinian; aid; M-9 version
65556,Australia,Netherlands,10,,Bushmaster,APC,New,,2007,,2007 - 2008,10,,,EUR8.5 m deal; for use in Afghanistan
65558,Australia,Netherlands,13,,Bushmaster,APC,New,,2008,,2008 - 2008,13,,,EUR15 m deal; for use in Afghanistan
65559,Australia,Netherlands,14,,Bushmaster,APC,New,,2009,,2009 - 2009,14,Yes,,EUR14 m deal; for use in Afghanistan
65560,Australia,Netherlands,9,,Bushmaster,APC,New,,2009,,2009 - 2009,9,,,$15 m deal; for use in Afghanistan
65562,Australia,Netherlands,14,,Bushmaster,APC,New,,2009,,2009 - 2009,14,,,EUR11 m deal; for use in Afghanistan
16239,Australia,New Zealand,2,,Tenix-1600,OPV,New,,2004,,2010 - 2010,2,,Yes,Part of NZD500 m ($317 m) 'Project Protector'; partly produced in New Zealand and assembled in Australia; New Zealand designation Otago
1629,Australia,New Zealand,4,,Tenix-340,Patrol craft,New,,2004,,2009 - 2009,4,,Yes,Part of NZD500 m ($317 m) 'Project Protector'
16177,Australia,Singapore,100,,R-600,IFV turret,New,,2009,,2010 - 2011,100,Yes,,AUD28 m ($22 m) deal; for Terrex APC/IFV produced in Singapore
16178,Australia,Singapore,100,Yes,R-600,IFV turret,New,,2012,,2012 - 2012,25,Yes,,AUD25 m ($27 m) deal; for Terrex APC/IFV produced in Singapore
28338,Australia,Trinidad and Tobago,6,,Austal-30m,Patrol craft,New,,2008,,2010 - 2010,6,,,
65557,Australia,United Kingdom,24,,Bushmaster,APC,New,,2008,,2008 - 2008,24,Yes,,AUD33 m deal; for use in Afghanistan
25879,Australia,United States,3,,KC-707,Tanker/transport ac,SecondHand,,2011,,2011 - 2011,3,,,Ex-Australian; Boeing-707-338C version; owned and operated by US company and leased per hour to US and other armed forces
16830,Australia,United States,1,,JHSV,Transport ship,New,,2008,,2012 - 2012,1,,Yes,$185 m deal (part of $1.6 b 'JHSV' (Joint High Speed Vessel) programme); delivery 2012/2013
16831,Australia,United States,9,,JHSV,Transport ship,New,,2009,,2012 - 2012,1,,Yes,Part of $1.6 b 'JHSV' (Joint High Speed Vessel) programme; delivery 2012-2017
17421,Austria,Argentina,4,Yes,SK-105 Kurassier,Light tank,New,,2006,Yes,2007 - 2007,4,,Yes,SK-105 chassis; fitted with turret from AMX-13 tank in Argentina; Argentine designation Patagon
14313,Austria,Bolivia,9,,DA-40,Light aircraft,New,,2009,Yes,2010 - 2010,9,,,$4 m deal; for training; supplier could be Canada
32360,Austria,Czech Republic,107,,Pandur-2,APC,New,,2009,,2009 - 2012,107,Yes,,"CZK14.4 b ($650 m; offsets 150% incl assembly of 90 in Czech Republic) deal; incl 11 command post, 4 ARV and 4 ambulance version"
